t,x,y,theta,x_true,y_true,theta_true,v,omega,e_lat,e_head,path_progress
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.027825,0.656501,-0.032521,0.03998,0.656215,-0.032003,1.0,-0.0,0.0,0.0,0.003333
0.1,0.079994,0.638539,-0.160279,0.081931,0.652855,-0.157667,0.80305,-3.141593,0.656501,-0.032521,0.006667
0.15,0.157726,0.633316,-0.158098,0.121677,0.645804,-0.163121,0.808438,0.649046,0.638539,-0.160279,0.01
0.2,0.162162,0.651775,-0.175455,0.161613,0.639165,-0.17527,0.810005,-0.465987,0.633316,-0.158098,0.01
0.25,0.201291,0.650436,-0.202064,0.201192,0.631695,-0.197695,0.804468,-0.444128,0.651775,-0.175455,0.013333
0.3,0.228164,0.602295,-0.202133,0.240589,0.623506,-0.210266,0.804869,-0.20325,0.650436,-0.202064,0.016667
0.35,0.282758,0.623746,-0.218602,0.280485,0.614862,-0.215425,0.819312,-0.078164,0.602295,-0.202133,0.02
0.4,0.32215,0.614252,-0.22972,0.320194,0.605903,-0.230685,0.812876,-0.361954,0.623746,-0.218602,0.02
0.45,0.378159,0.616777,-0.244488,0.359813,0.596334,-0.241865,0.815724,-0.189009,0.614252,-0.22972,0.026667
0.5,0.405013,0.576947,-0.251101,0.399333,0.586373,-0.252141,0.814967,-0.209649,0.616777,-0.244488,0.026667
0.55,0.437143,0.573145,-0.249352,0.439242,0.576037,-0.252728,0.826916,0.037743,0.576947,-0.251101,0.03
0.6,0.4761,0.567935,-0.268881,0.479281,0.565543,-0.262154,0.828057,-0.245093,0.573145,-0.249352,0.033333
0.65,0.525725,0.562894,-0.265312,0.519301,0.554692,-0.265652,0.829619,-0.026167,0.567935,-0.268881,0.036667
0.7,0.568826,0.553116,-0.273247,0.559345,0.54364,-0.274452,0.831132,-0.213475,0.562894,-0.265312,0.036667
0.75,0.622984,0.531997,-0.279469,0.599425,0.532224,-0.279312,0.834065,-0.068123,0.553116,-0.273247,0.04
0.8,0.63163,0.539222,-0.281737,0.639753,0.520646,-0.279125,0.840401,0.02172,0.531997,-0.279469,0.043333
0.85,0.682909,0.498729,-0.288955,0.680031,0.508982,-0.286333,0.838233,-0.18564,0.539222,-0.281737,0.046667
0.9,0.710524,0.507658,-0.290648,0.720721,0.49707,-0.280154,0.850381,0.200895,0.498729,-0.288955,0.046667
0.95,0.778859,0.482123,-0.284762,0.761473,0.48532,-0.284084,0.847703,-0.148472,0.507658,-0.290648,0.053333
1.0,0.803663,0.487022,-0.283196,0.80244,0.473311,-0.284896,0.855363,0.016798,0.482123,-0.284762,0.053333
1.05,0.835346,0.453041,-0.290653,0.843403,0.461221,-0.290363,0.853894,-0.140876,0.487022,-0.283196,0.056667
1.1,0.892491,0.438978,-0.285534,0.884728,0.448972,-0.283055,0.864088,0.217941,0.453041,-0.290653,0.06
1.15,0.913744,0.430244,-0.283278,0.9264,0.436944,-0.280688,0.868306,0.004683,0.438978,-0.285534,0.06
1.2,0.968927,0.443866,-0.279999,0.968217,0.42489,-0.280592,0.870927,0.001234,0.430244,-0.283278,0.063333
1.25,1.017529,0.409281,-0.298501,1.009872,0.412768,-0.287146,0.86684,-0.164166,0.443866,-0.279999,0.066667
1.3,1.04322,0.401818,-0.263355,1.051892,0.400565,-0.273851,0.877216,0.37341,0.409281,-0.298501,0.07
1.35,1.129024,0.381202,-0.281316,1.094193,0.388636,-0.281059,0.879455,-0.273548,0.401818,-0.263355,0.076667
1.4,1.147861,0.3705,-0.268188,1.136704,0.376461,-0.27233,0.885639,0.286613,0.381202,-0.281316,0.076667
1.45,1.172978,0.363442,-0.257077,1.179502,0.364603,-0.270785,0.88885,-0.033025,0.3705,-0.268188,0.076667
1.5,1.20643,0.332932,-0.277633,1.222393,0.352645,-0.273152,0.890967,-0.050935,0.363442,-0.257077,0.08
