gains,overshoot_m,settling_time_s,steady_state_err_m,settled,episode_duration_s,max_lateral_err_m
G1_sluggish_curved_sp0,2.5772,1.01,0.0096,1,59.99,2.5772
G1_sluggish_curved_sp1,0.6306,36.43,0.0097,1,59.99,2.5881
G1_sluggish_curved_sp2,0.6359,36.48,0.0085,1,59.99,2.5823
G1_sluggish_curved_sp3,2.5808,36.34,0.0094,1,59.99,2.5808
G1_sluggish_curved_sp4,2.5887,36.39,0.0082,1,59.99,2.5887
G2_underdamped_curved_sp0,2.5153,0.0,0.208,1,25.39,2.5153
G2_underdamped_curved_sp1,0.267,10.13,0.2139,1,25.57,2.4866
G2_underdamped_curved_sp2,0.2687,10.15,0.2146,1,25.52,2.5167
G2_underdamped_curved_sp3,2.5213,1.57,0.202,1,25.38,2.5213
G2_underdamped_curved_sp4,2.5095,0.0,0.2066,1,25.32,2.5095
G3_baseline_curved_sp0,2.5322,0.0,0.047,1,59.99,2.5322
G3_baseline_curved_sp1,0.4375,50.22,0.0511,1,59.99,2.5186
G3_baseline_curved_sp2,0.4297,52.81,0.0516,1,59.99,2.5228
G3_baseline_curved_sp3,2.5475,47.14,0.0468,1,59.99,2.5475
G3_baseline_curved_sp4,2.5401,0.0,0.0523,1,59.99,2.5401
G4_aggressive_curved_sp0,0.3097,0.0,0.2485,1,24.35,2.5148
G4_aggressive_curved_sp1,0.3211,2.24,0.2526,1,24.52,2.5067
G4_aggressive_curved_sp2,0.3172,2.22,0.2505,1,24.43,2.5143
G4_aggressive_curved_sp3,2.5202,1.43,0.2455,1,24.49,2.5202
G4_aggressive_curved_sp4,2.5135,0.0,0.2515,1,24.38,2.5135
G5_no_integral_curved_sp0,2.5728,0.0,0.1518,1,26.76,2.5728
G5_no_integral_curved_sp1,0.1877,19.35,0.1506,1,27.1,2.5737
G5_no_integral_curved_sp2,0.1816,19.23,0.1489,1,27.0,2.5834
G5_no_integral_curved_sp3,2.5819,1.83,0.1503,1,26.8,2.5819
G5_no_integral_curved_sp4,2.5738,0.0,0.1499,1,26.84,2.5738
