gains,overshoot_m,settling_time_s,steady_state_err_m,settled,episode_duration_s,max_lateral_err_m
noise_0.000_sp0,0.0361,3.29,0.0215,1,15.11,0.4828
noise_0.000_sp1,0.0363,3.08,0.0199,1,15.15,0.6268
noise_0.000_sp2,0.0176,2.8,0.0107,1,14.88,0.2157
noise_0.000_sp3,0.0513,3.58,0.0311,1,15.3,0.6433
noise_0.000_sp4,0.0277,2.95,0.0156,1,15.02,0.4494
noise_0.005_sp0,0.0515,3.36,0.0213,1,15.11,0.4921
noise_0.005_sp1,0.05,3.09,0.0193,1,15.14,0.6317
noise_0.005_sp2,0.0295,2.91,0.0116,1,14.88,0.2223
noise_0.005_sp3,0.0631,3.61,0.0307,1,15.3,0.6533
noise_0.005_sp4,0.0442,2.98,0.0169,1,15.02,0.4563
noise_0.020_sp0,0.0933,15.12,0.0276,0,15.12,0.5185
noise_0.020_sp1,0.0994,15.15,0.0246,0,15.15,0.6691
noise_0.020_sp2,0.0739,8.48,0.0157,1,14.9,0.2594
noise_0.020_sp3,0.0978,15.3,0.0311,0,15.3,0.6718
noise_0.020_sp4,0.0912,15.03,0.0235,0,15.03,0.4847
noise_0.050_sp0,0.1996,15.17,0.0393,0,15.17,0.5801
noise_0.050_sp1,0.1791,15.22,0.044,0,15.22,0.7073
noise_0.050_sp2,0.1893,14.98,0.0416,0,14.98,0.3369
noise_0.050_sp3,0.1786,15.34,0.0465,0,15.34,0.7423
noise_0.050_sp4,0.1594,15.09,0.0401,0,15.09,0.537
noise_0.100_sp0,0.3954,15.36,0.0826,0,15.36,0.7175
noise_0.100_sp1,0.438,15.39,0.0823,0,15.39,0.7813
noise_0.100_sp2,0.3281,15.16,0.0809,0,15.16,0.4626
noise_0.100_sp3,0.3028,15.45,0.0815,0,15.45,0.9126
noise_0.100_sp4,0.3134,15.27,0.0793,0,15.27,0.6238
disturb_sp0,0.4633,10.31,0.0172,1,15.32,0.5121
disturb_sp1,0.1061,15.32,0.0393,0,15.32,0.6516
disturb_sp2,0.0871,15.1,0.0326,0,15.1,0.411
disturb_sp3,0.4692,15.51,0.0209,0,15.51,0.7
disturb_sp4,0.4528,8.95,0.016,1,15.24,0.4799
