gains,overshoot_m,settling_time_s,steady_state_err_m,settled,episode_duration_s,max_lateral_err_m
G3_baseline_PID_LowNoise_sp0,0.4207,46.99,0.0528,1,59.99,2.5151
G3_baseline_PID_LowNoise_sp1,2.5386,1.72,0.0484,1,59.99,2.5386
G3_baseline_PID_LowNoise_sp2,0.4176,47.04,0.0522,1,59.99,2.5213
G3_baseline_PID_LowNoise_sp3,0.4123,47.32,0.0505,1,59.99,2.5308
G3_baseline_PID_LowNoise_sp4,2.5392,1.0,0.0478,1,59.99,2.5392
G5_no_integral_PD_LowNoise_sp0,0.1674,19.44,0.1491,1,27.2,2.5739
G5_no_integral_PD_LowNoise_sp1,2.5813,1.72,0.1497,1,26.78,2.5813
G5_no_integral_PD_LowNoise_sp2,0.1668,19.38,0.1501,1,27.14,2.5714
G5_no_integral_PD_LowNoise_sp3,0.1691,19.13,0.151,1,26.89,2.571
G5_no_integral_PD_LowNoise_sp4,2.5778,1.01,0.1507,1,26.79,2.5778
G3_baseline_PID_MedNoise_sp0,0.4546,55.45,0.0501,1,59.99,2.5196
G3_baseline_PID_MedNoise_sp1,2.5501,54.3,0.0457,1,59.99,2.5501
G3_baseline_PID_MedNoise_sp2,0.4578,59.99,0.053,0,59.99,2.5397
G3_baseline_PID_MedNoise_sp3,0.4515,59.99,0.0495,0,59.99,2.5503
G3_baseline_PID_MedNoise_sp4,2.5657,27.93,0.3424,0,27.93,2.5657
G5_no_integral_PD_MedNoise_sp0,0.2157,27.13,0.1517,0,27.13,2.5879
G5_no_integral_PD_MedNoise_sp1,2.603,26.77,0.1503,0,26.77,2.603
G5_no_integral_PD_MedNoise_sp2,0.2245,27.12,0.1507,0,27.12,2.5891
G5_no_integral_PD_MedNoise_sp3,0.195,26.84,0.1431,0,26.84,2.5738
G5_no_integral_PD_MedNoise_sp4,2.5998,26.88,0.1509,0,26.88,2.5998
