t,x,y,theta,x_true,y_true,theta_true,v,omega,e_lat,e_head,path_progress
0.01,0.012694,0.666934,-0.030524,0.009995,0.657175,-0.032003,0.79992,-0.747014,0.666934,-0.030524,0.0
0.02,0.037658,0.651695,-0.041703,0.017989,0.656889,-0.039473,0.79992,-0.747014,0.666934,-0.030524,0.003333
0.03,0.031494,0.651425,-0.056734,0.025981,0.656543,-0.046943,0.79992,-0.747014,0.666934,-0.030524,0.003333
0.04,0.040705,0.662373,-0.058173,0.03397,0.656138,-0.054414,0.79992,-0.747014,0.666934,-0.030524,0.003333
0.05,0.053725,0.634896,-0.067081,0.041955,0.655673,-0.061884,0.79992,-0.747014,0.666934,-0.030524,0.003333
0.06,0.050339,0.656343,-0.075612,0.049937,0.655149,-0.069354,0.803097,-0.230461,0.656343,-0.075612,0.003333
0.07,0.052081,0.653833,-0.069776,0.057948,0.654583,-0.071659,0.803097,-0.230461,0.656343,-0.075612,0.003333
0.08,0.052242,0.658342,-0.070562,0.065958,0.653999,-0.073963,0.803097,-0.230461,0.656343,-0.075612,0.003333
0.09,0.083302,0.667588,-0.076456,0.073966,0.653396,-0.076268,0.803097,-0.230461,0.656343,-0.075612,0.006667
0.1,0.095514,0.65793,-0.079213,0.081973,0.652775,-0.078572,0.803097,-0.230461,0.656343,-0.075612,0.006667
0.11,0.08962,0.659694,-0.078993,0.089979,0.652135,-0.080877,0.802092,-0.647276,0.659694,-0.078993,0.006667
0.12,0.100662,0.646882,-0.097705,0.097971,0.651461,-0.08735,0.802092,-0.647276,0.659694,-0.078993,0.006667
0.13,0.111347,0.652747,-0.084311,0.105959,0.650736,-0.093822,0.802092,-0.647276,0.659694,-0.078993,0.006667
0.14,0.108757,0.658963,-0.109858,0.113942,0.649958,-0.100295,0.802092,-0.647276,0.659694,-0.078993,0.006667
0.15,0.113322,0.657604,-0.109848,0.12192,0.64913,-0.106768,0.802092,-0.647276,0.659694,-0.078993,0.006667
0.16,0.123804,0.653927,-0.109309,0.129893,0.648249,-0.113241,0.803822,-0.31713,0.653927,-0.109309,0.006667
0.17,0.118714,0.65682,-0.112959,0.137878,0.647328,-0.116412,0.803822,-0.31713,0.653927,-0.109309,0.006667
0.18,0.142577,0.623294,-0.118703,0.14586,0.646382,-0.119583,0.803822,-0.31713,0.653927,-0.109309,0.01
0.19,0.154193,0.632593,-0.123097,0.15384,0.64541,-0.122755,0.803822,-0.31713,0.653927,-0.109309,0.01
0.2,0.140912,0.628088,-0.130203,0.161816,0.644413,-0.125926,0.803822,-0.31713,0.653927,-0.109309,0.01
0.21,0.163425,0.641392,-0.12211,0.169789,0.643391,-0.129097,0.807582,-0.380033,0.641392,-0.12211,0.01
0.22,0.159093,0.647566,-0.131251,0.177795,0.642336,-0.132898,0.807582,-0.380033,0.641392,-0.12211,0.01
0.23,0.178892,0.624606,-0.14541,0.185798,0.641251,-0.136698,0.807582,-0.380033,0.641392,-0.12211,0.013333
0.24,0.193329,0.652718,-0.136918,0.193796,0.640135,-0.140498,0.807582,-0.380033,0.641392,-0.12211,0.013333
0.25,0.195789,0.634621,-0.138526,0.20179,0.638989,-0.144299,0.807582,-0.380033,0.641392,-0.12211,0.013333
0.26,0.202315,0.653554,-0.150973,0.20978,0.637813,-0.148099,0.803934,-0.363845,0.653554,-0.150973,0.013333
0.27,0.219554,0.640545,-0.153412,0.217729,0.636612,-0.151737,0.803934,-0.363845,0.653554,-0.150973,0.013333
0.28,0.211454,0.628745,-0.15185,0.225674,0.635382,-0.155376,0.803934,-0.363845,0.653554,-0.150973,0.013333
0.29,0.228323,0.622519,-0.157188,0.233614,0.634124,-0.159014,0.803934,-0.363845,0.653554,-0.150973,0.016667
0.3,0.210776,0.646635,-0.156842,0.24155,0.632836,-0.162653,0.803934,-0.363845,0.653554,-0.150973,0.013333
0.31,0.244102,0.609537,-0.164276,0.249481,0.63152,-0.166291,0.817139,-0.075842,0.609537,-0.164276,0.016667
0.32,0.252076,0.640309,-0.164997,0.257539,0.630164,-0.16705,0.817139,-0.075842,0.609537,-0.164276,0.016667
0.33,0.2627,0.620507,-0.166409,0.265596,0.628803,-0.167808,0.817139,-0.075842,0.609537,-0.164276,0.016667
0.34,0.279808,0.600674,-0.168598,0.273652,0.627435,-0.168566,0.817139,-0.075842,0.609537,-0.164276,0.02
0.35,0.279582,0.625918,-0.156073,0.281707,0.626061,-0.169325,0.817139,-0.075842,0.609537,-0.164276,0.02
0.36,0.291222,0.628104,-0.174058,0.289761,0.624681,-0.170083,0.811569,-0.485576,0.628104,-0.174058,0.02
0.37,0.303014,0.623711,-0.174169,0.297756,0.623288,-0.174939,0.811569,-0.485576,0.628104,-0.174058,0.02
0.38,0.310101,0.621658,-0.180753,0.305745,0.621856,-0.179795,0.811569,-0.485576,0.628104,-0.174058,0.02
0.39,0.313231,0.625304,-0.190248,0.313726,0.620385,-0.18465,0.811569,-0.485576,0.628104,-0.174058,0.02
0.4,0.336295,0.614199,-0.189092,0.3217,0.618875,-0.189506,0.811569,-0.485576,0.628104,-0.174058,0.023333
